sample_accession	text	tag
SAMN40465072	 NR0481 NR0481 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN14853490	 NFLD5 B 29 NFLD5 B 29 Mallotus villosus   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN33186335	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine biome (ENVO:00000447) natural harbour (ENVO:00000465) coastal seawater (ENVO:00002150)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN21839448	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from seawater metagenome seawater metagenome ENVO 01000048 ENVO 01000032 ENVO 00002149	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN41504957	 Acanthochitona discrepans Acanthochitona discrepans Acanthochitona discrepans   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN03437018	 Keywords: GSC:MIxS MIMARKS:5.0 Multi 8 5 marine metagenome aquatic Red Sea saline water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA5996982	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20160606T1048Z OA007 I00 S00 C000 O SRF MICROB IMG L20 R01 G100017120 TARA SAMPLE 20160606T1048Z OA007 I00 S00 C000 O SRF MICROB IMG L20 R01 G100017120 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN37179400	 7441004 CB45 aquatic metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA113967741	 Wallabi Metagenome or environmental sample from marine metagenome marine metagenome marine  	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN40896706	 Keywords: GSC:MIxS MIMARKS:6.0 Day 248 Unfrac A marine metagenome marine biome [ENVO 00000447] coastal marine biome Coastal water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN36770484	 Keywords: GSC:MIxS MIMS:6.0 C10 N19 200m 20190710 pm cellular marine metagenome marine biome [ENVO:00000447] ocean [ENVO:00000015] oceanic zone [ENVO:00000207]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11184024	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2619952 TARA SAMEA2619952 BIN 00000047 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN43483370	 Keywords: GSC:MIxS MIMS:6.0 102.100.100/402235 marine metagenome 7 Other 7.1.3 Coastal water intensive use Sea water [ENVO 00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07303139	 individual particle 16S rRNA marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA4762133	mackerel exp 4 not applicable 11721.s7.3.pyloricc fish gut metagenome marine biome animal associated habitat intestine environment	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN31025713	 2bRAD seq data for Stephanocoenia intersepta Stephanocoenia intersepta Stephanocoenia intersepta   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6006048	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20161116T1721Z OA000 I08 S03 F002 S WATER FISH IMG OTO R01 FH 0000855 TARA SAMPLE 20161116T1721Z OA000 I08 S03 F002 S WATER FISH IMG OTO R01 FH 0000855 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN44456770	 Crustose coralline algae microbiome Lithophyllum insipidum coral reef metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN30103380	 Keywords: GSC:MIxS MIMARKS:6.0 S056 marine metagenome marine biome [ENVO:00000447] oceanic epipelagic marine biome [ENVO:01000035] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112941720	 hydrothermal vent shrimp R.exo.ReLog9 Rimicaris exoculata   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN23963156	 collected in Shilaoren beach in station1 with FL Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA118646881	Mer Club DNA from Barcelona Mediterranean sea sample (Replicate 1). This sample (MerClub BCN 4 DNA A) was obtained from sample BCN 4 within project Mer Club. Its source material is coastal marine sedimentfrom Mediterranean sea, Barcelona, 40.0m depth, 0 2cm sediment depth Mer Club CS3 estuarine sediment Bay of Biscay (Atlantic Ocean), Suances Estuary, Uncovered shore, 0 2cm sediment depth MerClub CS3 DNA 3 marine metagenome Estuarine biome Bay of Biscay (Atlantic Ocean), Suances Estuary, Uncovered shore, 0 2cm sediment depth particulate matter (ENVO:01000060) including superficial layer of sediment (ENVO 01001192)	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN09990906	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN33024484	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine biome (ENVO:00000447) natural harbour (ENVO:00000465) coastal seawater (ENVO:00002150)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA117493405	Aquaculture sites monitoring FHF23 St2 Gr2 B FHF23 2 2 B marine sediment metagenome saline sediment environment ocean biome sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine;datahub:TREC;datahub:BIOcean5D;datahub
SAMN19289410	 Model organism or animal sample from Rhinogobiops nicholsii Model organism or animal sample from Rhinogobiops nicholsii Rhinogobiops nicholsii   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN16221170	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine benthic biome(ENVO:01000024) marine benthic feature (ENVO:01000105) marine sediment(ENVO:00002113)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN05224481	 Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet   SI037 S2LV 200m DNA Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet   SI037 S2LV 200m DNA marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN44113467	 Sea urchin Arbacia lixula, Gastrula, Replicate 3, Read 1, Metagenomics Invertebrate sample from Arbacia lixula Arbacia lixula   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA117735310	holobiontalgue Bacterial microbiota 16S Bacterial microbiota 16S macroalgae metagenome marine biota infralittoral pool plant	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN14573896	 V7 V9 targeted Summer Sample V7 V9 targeted Summer Sample marine sediment metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07687589	 Metatranscriptome of deep ocean microbial communities from Atlantic Ocean   MP2919 Metatranscriptome of deep ocean microbial communities from Atlantic Ocean   MP2919 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN30945870	 Metagenome or environmental sample from estuary metagenome Metagenome or environmental sample from estuary metagenome estuary metagenome estuarine biome estuary estuarine water	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN35076761	 Keywords: GSC:MIxS MIGS:6.0 MIGS Eukaryotic sample from Clupea pallasii Clupea pallasii ocean biome coastline Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA114430716	North Sea from DE and UK salt marsh sediment metagenomes   16S rRNA and shotgun MAG from Mudflat sediments Mud Rep1 bin103 Anderseniella sp. marine sediment Interidal mudflat sediment Sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN46215031	 Model organism or animal sample from Sebastes fasciatus Model organism or animal sample from Sebastes fasciatus Sebastes fasciatus   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA13519599	Metagenome sequencing of Hadza gut microbiome This sample represents an uncultured Brachyspira sp. MAG assembled and binned from ERR7747255. ERR7747255 bin.230 uncultured Brachyspira sp. terrestrial biome human associated habitat feces	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_tax;env_geo:marine
SAMN10502086	 D10.0 D10.0 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA12219531	DTOL 75787df7 3043 4103 bb19 400940fb3d26 dtol 75787df7 3043 4103 bb19 400940fb3d26 dtol Facelina auriculata   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN18391411	 OFAV D1 UVI 108 Orbicella faveolata   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06672851	 Pathogen: clinical or host associated sample from Mycobacterium tuberculosis variant bovis Pathogen: clinical or host associated sample from Mycobacterium tuberculosis variant bovis Mycobacterium tuberculosis variant bovis   	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_geo:coastal;env_tax:freshwater;env_tax:terrestrial;env_tax:brackish;env_tax;env_geo:marine
SAMEA7929076	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Equatorial Seasonal Upwelling on date/time 2022 07 28T08:39:00Z, at location 0.0136 S 11.5114 W and depth (m)=1/5, using protocol S20 with sample pid SAMEA7929076 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Equatorial Seasonal Upwelling on date/time 2022 07 28T08:39:00Z, at location 0.0136 S 11.5114 W and depth (m)=1/5, using protocol S20 with sample pid SAMEA7929076 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine;datahub:AtlantECO;datahub:Mission Microbiomes AtlantECO Data Hub;datahub
SAMEA2732775	Tara Oceans expedition (2009 2013) This sample (TARA N000001700) was collected during the Tara Oceans expedition (2009 2013) at station TARA 106 (latitudeN=0.1069, longitudeE= 84.6236) on date/time=2011 05 04T15:59, using a PLANKTON NET, TYPE=Double, MESH Size (�m)=20, MOUTH Opening (m^2)=0.192442, LENGTH (m)=2.5. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 48 52 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size fractionated (20 180 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA N000001701. TARA 20110504T1559Z 106 EVENT NET N1+N2 D (50 m) PROT NUC DNA(1L) N20 180 TARA N000001700 marine metagenome marine biome (ENVO:00000447) deep chlorophyll maximum layer (ENVO:xxxxxxxx) particulate matter, including plankton (ENVO:xxxxxxxx)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11175716	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2619840 TARA SAMEA2619840 METAG INMNKNOL marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11168530	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4396468 TARA SAMEA4396468 METAG DHOFLKJI marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN45155902	 Invertebrate sample from Acropora hyacinthus Invertebrate sample from Acropora hyacinthus Acropora hyacinthus   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA5996878	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20160601T0804Z OA004 I00 S00 C000 O SRF MICROB SEQ S023 R02 OA 0000046 TARA SAMPLE 20160601T0804Z OA004 I00 S00 C000 O SRF MICROB SEQ S023 R02 OA 0000046 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN36800337	 CAP xcap15xx011 CAP xcap15xx011 Oncorhynchus kisutch   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN47302880	 P21516 1079 S79 P21516 1079 S79 aquatic metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN31715636	 marine metagenome marine metagenome marine metagenome polar microbiome Coastal Antarctic marine water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA117752530	 DNA was extracted from whole gametophyte cultures for ddRAD seq using the Macherey Nagel Nucleospin plant II DNA plate extraction kit and the DNA was then subsequently cleaned with the Nucleospin gDNA XS clean up kit. Genomic DNA from Saccharina latissima strain SL PDK LOC 23 f1 Saccharina latissima   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA4350312	 water sample M6 C823,7 T+26 f0,2 1235.sp1284 marine metagenome marine biome fjord seawater	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6013398	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20170130T2231Z OA000 I15 S03 F007 S WATER FISH SEQ MUC R01 FH 0002152 TARA SAMPLE 20170130T2231Z OA000 I15 S03 F007 S WATER FISH SEQ MUC R01 FH 0002152 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN47002689	 bacterium like particle sorted by FACS SCGC AM 515 C09 Candidatus Pelagibacter communis marine coastal sea water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112576130	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 07 25T03:45:00Z, at location 40.72830 N 25.17360 E, elevation (m)=0 and depth (m)=0 3, using protocol HLB with sample pid SAMEA112576130  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11148152	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2623794 TARA SAMEA2623794 METAG CILNEBPP marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN04230391	 This BioSample includes 12 sampling locations spanning a 2.5 km transect moving offshore from Hopkins Marine Station in Monterey Bay, CA. The 1 L water samples collected for eDNA analysis encompass seagrass, kelp forest, rocky reef, sandy bottom, and open water habitats. Sequence reads for all these samples (including replicates) were pooled into a single fastq file (forward + reverse). Hopkins eDNA transect Nov2013 marine metagenome marine biome marine habitat seawater	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN18121449	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome Ocean Coastal ocean seawater sample	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA7820175	Atlantic Microbiome Funding was provided by the Ocean Frontier Institute through an award from the Canada First Research Excellence Fund, by the Helmholtz POLMAR Graduate School and the POF IV Research Programme topic 6 and subtopic 6.2 of the Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Germany Atlantic pelagic water sample PS113 16 S43 S86 marine metagenome ocean biome [ENVO:01000048] marine pelagic feature [ENVO:01000044] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16394653	 colse by the commercial port Metagenome or environmental sample from marine sediment metagenome marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN32621607	 Keywords: GSC:MIxS MIGS:6.0 MIGS Eukaryotic sample from Acanthurus triostegus Acanthurus triostegus coral reef coral reef coral reef	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN15461273	 HW1 HW1 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA103890056	 DNA from surface swab of Phyllospora comosa macro algae 2229.W2.T3.5.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006 algae metagenome marine biome kelp forest biofilm	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN49730415	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from seawater metagenome seawater metagenome ENVO:00000447 ENVO:01000047 ENVO:01001964	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112759120	16S amplicon sequencing of the microbial communities in the water column of the Northern Benguela Upwelling System water sample collected at station M157 42 2 at 25m depth, size fraction >= 0.22 um EVAR147 seawater metagenome sea water [ENVO:0000214] microbial community [PCO:1000004] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN41115566	 Invertebrate sample from Eunicea asperula Invertebrate sample from Eunicea asperula Eunicea asperula coral patch reef  	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN39864119	 Invertebrate sample from Psammocora profundacella Invertebrate sample from Psammocora profundacella Psammocora profundacella   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN17086354	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from aquatic metagenome aquatic metagenome ENVO:01000020 ENVO:00001999 ENVO:00000223	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN37974015	 E87 25 DCM E87 25 DCM seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11149770	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2621423 TARA SAMEA2621423 METAG GOFEFFGP marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN20365018	 F12156 L1 S8 F12156 L1 S8 Gasterosteus aculeatus   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN36803240	 NEK xnek04rx028 NEK xnek04rx028 Oncorhynchus kisutch   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:freshwater;env_geo:marine
SAMN17160093	 Pathogen: clinical or host associated sample from Klebsiella pneumoniae Pathogen: clinical or host associated sample from Klebsiella pneumoniae Klebsiella pneumoniae   	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_tax:freshwater;env_tax:terrestrial;env_tax;env_geo:marine
SAMEA11135852	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2619802 TARA SAMEA2619802 BIN 00000114 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMD00404405	Metabarcoding analysis of Symbiodiniaceae communities in corals and surrounding seawater in Japan Keywords: GSC:MIxS MIMARKS:6.0 2013 Acropora digitifera 3mon juvenile Okinawa Kochi 7 marine metagenome marine biome cnidarian associated environment coral reef	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN46136933	 sample collected by the V. Orphan Lab, California Institute of Technology 16S rRNA gene sequencing of: cold seep metagenome: seep carbonate nodule cold seep metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN53799574	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome polar microbiome Coastal Antarctic marine water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN13719546	 Keywords: GSC:MIxS MIMS:5.0 J2 817 3 R1 1 hydrothermal vent metagenome marine hydrothermal vent biome [ENVO:01000030] marine hydrothermal vent [ENVO:01000122] deep sea hydrothermal deposit	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN15083615	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN20584093	 Metagenome or environmental sample from algae metagenome Metagenome or environmental sample from algae metagenome algae metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN05806795	 Metagenome or environmental sample from coral metagenome Metagenome or environmental sample from coral metagenome coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN33962777	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN31016129	 marine sediment metagenome marine sediment metagenome marine sediment metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11178593	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136646 BGEO SAMN07136646 BIN 00000004 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6011436	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20170122T2328Z OA000 I14 S03 C009 C CORAL HOLOB IMG CREP R01 CO 1003483 TARA SAMPLE 20170122T2328Z OA000 I14 S03 C009 C CORAL HOLOB IMG CREP R01 CO 1003483 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN04534655	 Genome extracted from metagenome Metagenome or environmental sample from Sphingopyxis sp. REDSEA S22 B5 Sphingopyxis sp. REDSEA S22 B5   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMD00823727	 COI21 SNPs of tomopterid species Tom81 Tomopteris sp.   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN09812821	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from coral reef metagenome coral reef metagenome Coral Reef Coastal water body Oligotrophic water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07162558	 Dark Control DARK CONTROL1 T 7 marine metagenome Ocean Biome Oceanic Gyre Sea Water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN10349785	 purple its r Metagenome or environmental sample from seagrass metagenome seagrass metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN35786713	   hydrothermal vent metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN29754596	 Model organism or animal sample from Somniosus pacificus Model organism or animal sample from Somniosus pacificus Somniosus pacificus   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11180281	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2623756 TARA SAMEA2623756 METAG LOAIEECM marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN33266668	 J 16S 1 26 J 16S 1 26 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN12572794	 WGS Gadus morhua WGS Gadus morhua Gadus morhua   	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMEA120960389	Global kelp microbiome Host associated epiphytoic bacteria sa 76 Laminaria digitata kelp forest reef surface biofilm	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN03568057	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA7915654	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Amazon River Plume Sigrid Neumann Leitao on date/time 2021 08 28T11:02:00Z, at location 10.4700 N 50.0712 W and depth (m)=0/212, using protocol S20 with sample pid SAMEA7915654 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Amazon River Plume Sigrid Neumann Leitao on date/time 2021 08 28T11:02:00Z, at location 10.4700 N 50.0712 W and depth (m)=0/212, using protocol S20 with sample pid SAMEA7915654 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN35882808	 seaweed microbes seaweed microbes seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN43263417	 Keywords: GSC:MIxS MIMS:6.0 102.100.100/139005 marine metagenome 7 Other 7.1.3 Coastal water intensive use Saline water [ENVO 00002010]	env_tax:marine;env_geo;env_tax;env_geo:freshwater;env_geo:marine
SAMEA114530854	ExpID test test aquatic metagenome ENVO 00000015 ENVO 00000015 ENVO 00000015	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA13077838	Pacific Ocean Microbiome Marine Epipelagic Size Fractioned 3 P1 100 8 marine metagenome SPSG Epi /Mesopelagic water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN50563483	 NR0421.2 NR0421.2 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN30213219	 Homarus americanus Homarus americanus Homarus americanus Coastal areas  	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN03353614	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from seawater metagenome seawater metagenome coral reef sea water water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN03941664	 Sta3 T20 DCM Sta3 T20 DCM marine metagenome seawater column ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112957965	Marine microbial communities from the Deep Atlantic Ocean   MP0739 metagenome This sample represents a metagenome assembled genome assembled from the metagenomic run SRR3965647 of study SRP080060. Metagenome Assembled Genome: SRR3965647 bin.3 MetaWRAP v1.3 MAG uncultured Alcanivorax sp. Aquatic Marine Deep Atlantic Ocean	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN17524812	 Amplicon sequencing of abyssal microbes: sediments Amplicon sequencing of abyssal microbes: sediments marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11171812	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2621021 TARA SAMEA2621021 BIN 00000171 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN29985135	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from starfish metagenome starfish metagenome Marine Australia:Port Phillip Bay Stomach Contents	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMEA11143139	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2623155 TARA SAMEA2623155 METAG HEBLJLEI marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN30115839	 T sediment napA gene DNA seqs NapAT hydrothermal vent metagenome hydrothermal vent biome  hydrothermal vent sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN54578970	 Keywords: GSC:MIxS MIMS:6.0 MIMS Environmental/Metagenome sample from seawater metagenome seawater metagenome marine biome marine water body sea water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN10148822	 FSr b Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112551344	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 04 05T10:53:00Z, at location 48.74300 N 3.96600 W, elevation (m)=0 and depth (m)=0 3, using protocol RBM3 with sample pid SAMEA112551344  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA114719240	NEEDED KH21 234 47 CTD1 100 F1 KH21 234 47 CTD1 100 F1 seawater metagenome marine biome [ENVO:00000447] marine layer [ENVO 01000295] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN53177716	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome ocean coastal seawater	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
